Argument values: path=C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;f9-mut-030.sim, genformat=None, initialgenotype=/*9*/BLU, opt=vertpos, popsize=50, generations=1000, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=None, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=50
Using Framsticks version: 5.0rc22
Home (writable) dir     : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data
Resources dir           : C:\Users\1625203\Downloads\Framsticks50rc22\Framsticks50rc22\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Performing a basic test 1/2... OK.
Performing a basic test 2/2... OK.
Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'f9-mut-030.sim']
gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	47    	0.0792944	0.120367	-0.0160001	0.514537
2  	41    	0.100307 	0.146079	-0.016    	0.514537
3  	46    	0.154145 	0.137455	-0.016    	0.514444
4  	46    	0.139681 	0.13882 	-0.0166667	0.51442 
5  	48    	0.221769 	0.165457	-0.016    	0.557663
6  	46    	0.246296 	0.189905	-0.0177778	0.58128 
7  	44    	0.261821 	0.170951	-0.0177778	0.592146
8  	48    	0.23797  	0.188874	-0.0166666	0.703852
9  	48    	0.267552 	0.188818	-0.0171429	0.806024
10 	43    	0.314634 	0.195821	-0.0166668	0.806024
11 	43    	0.328102 	0.207338	-0.017143 	0.806024
12 	46    	0.302903 	0.198376	-0.017143 	0.806024
13 	46    	0.312457 	0.213053	-0.0199999	0.806024
14 	47    	0.313175 	0.20527 	-0.0175001	0.806024
15 	47    	0.303749 	0.180611	-0.0171429	0.806024
16 	43    	0.352872 	0.205955	-0.0171428	0.806024
17 	46    	0.284557 	0.20379 	-0.0171428	0.812977
18 	42    	0.263727 	0.241205	-0.0175   	0.812977
19 	46    	0.277231 	0.223119	-0.0171429	0.812977
20 	49    	0.238855 	0.195873	-0.0177779	0.749044
21 	46    	0.311548 	0.216497	-0.0177778	0.749044
22 	49    	0.245253 	0.185803	-0.0175   	0.749044
23 	46    	0.301771 	0.157684	0.0986914 	0.749044
24 	46    	0.275206 	0.171567	-0.0222222	0.611209
25 	47    	0.227582 	0.151806	-0.0171428	0.654187
26 	46    	0.305856 	0.141593	-0.0149998	0.654187
27 	44    	0.297903 	0.160243	-0.0166665	0.701064
28 	45    	0.300077 	0.178625	-0.017143 	0.701064
29 	44    	0.300906 	0.194264	-0.0171429	0.70181 
30 	49    	0.262982 	0.194657	-0.0199999	0.756704
31 	47    	0.283512 	0.182237	-0.02     	0.756704
32 	45    	0.307444 	0.175796	-0.0159999	0.70181 
33 	46    	0.273135 	0.178179	-0.02     	0.616138
