gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	42    	0.0774461	0.108444	-0.0159999	0.235956
2  	43    	0.110756 	0.117916	-0.016    	0.356517
3  	47    	0.0868115	0.108587	-0.02     	0.283359
4  	47    	0.144276 	0.151445	-0.0166667	0.583036
5  	47    	0.20452  	0.157403	-0.02     	0.632073
6  	46    	0.237839 	0.159045	-0.0171429	0.632073
7  	48    	0.231048 	0.140453	-0.0174999	0.705591
8  	44    	0.27913  	0.139867	-0.0166666	0.705591
9  	45    	0.251842 	0.153467	-0.0175   	0.705591
10 	45    	0.282144 	0.165623	-0.02     	0.705591
11 	45    	0.257639 	0.187222	-0.02     	0.705591
12 	48    	0.265257 	0.169378	-0.02     	0.705591
13 	45    	0.313422 	0.170035	-0.0183334	0.705591
14 	49    	0.292864 	0.127122	0.0930383 	0.717296
15 	48    	0.27691  	0.127057	-0.018    	0.563984
16 	43    	0.315871 	0.133415	0.0769805 	0.651599
17 	48    	0.323991 	0.149367	0.0591921 	0.719484
18 	48    	0.308723 	0.14126 	0.0756391 	0.735597
19 	42    	0.332149 	0.136585	-0.018    	0.719484
20 	46    	0.292367 	0.13428 	-0.0133333	0.664214
21 	50    	0.276186 	0.103334	-0.0177777	0.550064
22 	48    	0.290129 	0.112511	0.0748686 	0.561061
23 	47    	0.288019 	0.107765	-0.02     	0.561061
24 	45    	0.315046 	0.115276	0.0644846 	0.561061
25 	46    	0.318051 	0.134244	0.0648174 	0.677373
26 	42    	0.347238 	0.170144	0.0659984 	0.682677
27 	48    	0.316466 	0.165106	-0.0175   	0.740608
28 	44    	0.341317 	0.171793	-0.0171429	0.753468
29 	44    	0.358696 	0.179566	0.0854387 	0.809217
30 	45    	0.348532 	0.203127	-0.0166667	0.83894 
31 	47    	0.38505  	0.21025 	0.0728605 	0.925911
32 	48    	0.293781 	0.18004 	0.0536097 	0.795469
33 	45    	0.324536 	0.160816	0.0891222 	0.795469
34 	50    	0.339491 	0.173843	-0.0160001	0.804175
35 	48    	0.336232 	0.158418	0.0562214 	0.764439
36 	44    	0.321743 	0.190557	-0.0159999	0.692974
37 	45    	0.298539 	0.176203	-0.0160001	0.767793
38 	49    	0.32158  	0.157453	-0.0222222	0.676069
39 	45    	0.3228   	0.134563	-0.02     	0.65142 
40 	48    	0.344425 	0.111505	0.140593  	0.624514
41 	49    	0.3067   	0.103221	0.124132  	0.615842
42 	42    	0.333174 	0.129591	0.0589947 	0.615842
43 	45    	0.284005 	0.148459	-0.0166667	0.615842
44 	46    	0.295474 	0.124795	0.0874694 	0.615842
45 	48    	0.270412 	0.136902	-0.0183333	0.615842
46 	47    	0.319408 	0.146071	-0.0177779	0.757867
47 	48    	0.315077 	0.0893673	0.113006  	0.615842
48 	48    	0.300086 	0.0876798	0.1148    	0.495615
49 	44    	0.320687 	0.10634  	-0.0160003	0.534065
50 	43    	0.31538  	0.105779 	0.0874948 	0.534065
51 	45    	0.297364 	0.0938818	0.0735617 	0.534065
52 	48    	0.297446 	0.113604 	-0.0181818	0.605757
53 	47    	0.311006 	0.117086 	-0.0166666	0.532844
54 	42    	0.307808 	0.122511 	0.0850184 	0.608217
55 	45    	0.314827 	0.100442 	0.0718309 	0.528884
56 	46    	0.329658 	0.119654 	0.121531  	0.676978
57 	48    	0.286358 	0.0982244	0.0992135 	0.506889
58 	46    	0.311037 	0.124411 	-0.0133332	0.578889
59 	46    	0.290791 	0.15905  	-0.0177778	0.682195
60 	49    	0.276561 	0.116929 	-0.0166667	0.528571
61 	42    	0.290352 	0.116834 	0.0523723 	0.528571
62 	45    	0.28291  	0.132234 	-0.016    	0.541622
63 	45    	0.309362 	0.120606 	-0.016    	0.55405 
64 	46    	0.283111 	0.126245 	-0.0175   	0.589639
65 	46    	0.29507  	0.135685 	-0.0183333	0.587101
66 	43    	0.321188 	0.141016 	0.0840803 	0.630569
67 	45    	0.306115 	0.143577 	-0.016    	0.618171
68 	45    	0.343258 	0.13896  	0.0594992 	0.623216
69 	46    	0.267893 	0.278339 	-1        	0.618171
70 	48    	0.234873 	0.265734 	-1        	0.440438
71 	46    	0.244244 	0.324222 	-1        	0.513826
72 	46    	0.204324 	0.368539 	-1        	0.548104
73 	49    	0.214202 	0.371224 	-1        	0.629964
74 	47    	0.298717 	0.20064  	-1        	0.465901
75 	45    	0.297459 	0.206208 	-1        	0.555006
76 	45    	0.237648 	0.324509 	-1        	0.555006
77 	46    	0.236085 	0.278887 	-1        	0.555006
78 	47    	0.2625   	0.2096   	-1        	0.555006
79 	46    	0.29514  	0.208298 	-1        	0.562159
80 	48    	0.272939 	0.211025 	-1        	0.570336
81 	43    	0.302761 	0.230353 	-1        	0.599618
82 	46    	0.306315 	0.121604 	-0.016    	0.570336
83 	47    	0.309663 	0.0868272	0.109042  	0.570336
84 	47    	0.293434 	0.0801673	0.10901   	0.570336
85 	48    	0.289095 	0.110964 	0.0998027 	0.692392
86 	45    	0.301238 	0.119422 	-0.0183333	0.692392
87 	47    	0.28214  	0.123748 	-0.016    	0.578572
88 	46    	0.255859 	0.212997 	-1        	0.515766
89 	47    	0.257948 	0.122149 	-0.0160001	0.515766
90 	47    	0.286779 	0.121877 	-0.016    	0.515766
91 	48    	0.261371 	0.147758 	-0.016    	0.516696
92 	46    	0.189259 	0.282497 	-1        	0.515856
93 	47    	0.274195 	0.132189 	-0.016    	0.512995
94 	47    	0.320714 	0.120189 	-0.015    	0.554345
95 	48    	0.274493 	0.128935 	-0.016    	0.766213
96 	46    	0.275536 	0.287604 	-1        	0.766213
97 	47    	0.292891 	0.211388 	-1        	0.766213
98 	49    	0.293623 	0.113798 	0.0738866 	0.766213
99 	46    	0.303115 	0.137144 	-0.0133332	0.766213
100	45    	0.310769 	0.135753 	0.0696837 	0.766213
101	44    	0.325051 	0.170756 	0.101676  	0.766213
102	47    	0.25015  	0.282565 	-1        	0.766213
103	50    	0.280826 	0.1041   	0.0780488 	0.505632
104	46    	0.31502  	0.115939 	-0.018    	0.513341
105	45    	0.320053 	0.117887 	-0.0133333	0.730211
106	46    	0.324724 	0.142701 	0.0889669 	0.730211
107	48    	0.275348 	0.119842 	-0.015    	0.682382
108	43    	0.304763 	0.124109 	0.0765455 	0.682382
109	47    	0.271682 	0.114548 	-0.0171429	0.682382
110	47    	0.278879 	0.115842 	-0.0171428	0.491474
111	45    	0.286298 	0.102428 	-0.016    	0.491474
112	47    	0.281307 	0.121379 	-0.0133333	0.491474
113	46    	0.290648 	0.114746 	-0.02     	0.491474
114	44    	0.329722 	0.109408 	0.0446322 	0.526342
115	45    	0.302824 	0.123617 	0.0643529 	0.526342
116	47    	0.288225 	0.109861 	0.0608205 	0.521407
117	47    	0.29227  	0.104541 	0.0645915 	0.522366
118	48    	0.310169 	0.099036 	0.152228  	0.596806
119	46    	0.323675 	0.130331 	-0.01     	0.666208
