gen	nevals	avg     	stddev	min     	max     
0  	50    	0.218369	0     	0.218369	0.218369
1  	48    	0.0373827	0.106622	-0.016  	0.514537
2  	48    	0.0620024	0.127829	-0.0199999	0.514537
3  	45    	0.080067 	0.135998	-0.0171429	0.514537
4  	46    	0.11398  	0.139324	-0.0166667	0.514214
5  	44    	0.159239 	0.165572	-0.0171428	0.428395
6  	48    	0.176804 	0.154352	-0.02     	0.579981
7  	46    	0.176901 	0.166327	-0.0166667	0.579981
8  	48    	0.227617 	0.156612	-0.02     	0.579981
9  	47    	0.236137 	0.150517	-0.0177778	0.581279
10 	47    	0.200375 	0.18939 	-0.0171428	0.581279
11 	46    	0.227911 	0.169276	-0.0171429	0.581321
12 	48    	0.214035 	0.176802	-0.0166667	0.581321
13 	48    	0.194191 	0.171956	-0.0200001	0.581321
14 	46    	0.262856 	0.194266	-0.0174999	0.812825
15 	43    	0.271211 	0.211805	-0.0171429	0.705171
16 	47    	0.228427 	0.181998	-0.02     	0.705171
17 	46    	0.256667 	0.171372	-0.0171429	0.704883
18 	49    	0.229598 	0.187936	-0.0233333	0.705984
19 	48    	0.237552 	0.17746 	-0.0171429	0.703946
20 	42    	0.263669 	0.217089	-0.02     	0.760123
21 	47    	0.261199 	0.191491	-0.0199999	0.754419
22 	47    	0.245839 	0.177109	-0.0177778	0.754419
23 	46    	0.238665 	0.184992	-0.02     	0.754419
24 	45    	0.268791 	0.204244	-0.02     	0.754419
25 	46    	0.263731 	0.191106	-0.0166667	0.754419
26 	44    	0.274945 	0.193753	-0.02     	0.754419
27 	46    	0.253033 	0.153152	-0.0166666	0.754419
28 	46    	0.279079 	0.147793	-0.018    	0.754419
29 	45    	0.297647 	0.174152	-0.016    	0.811396
30 	45    	0.267907 	0.186364	-0.018    	0.811396
31 	49    	0.243928 	0.209397	-0.0171429	0.811396
32 	44    	0.264618 	0.214282	-0.0177778	0.811396
33 	45    	0.244825 	0.23848 	-0.02     	0.811396
34 	47    	0.238235 	0.196589	-0.0171429	0.811396
35 	45    	0.246955 	0.156324	-0.0174997	0.63008 
36 	47    	0.236076 	0.15028 	-0.02     	0.553538
37 	45    	0.244727 	0.154609	-0.0171429	0.547262
38 	43    	0.267931 	0.144394	-0.02     	0.547262
39 	49    	0.266593 	0.14953 	-0.0166666	0.616094
40 	46    	0.271514 	0.16297 	-0.0181819	0.616094
41 	49    	0.200258 	0.111977	-0.0175   	0.45073 
42 	46    	0.250872 	0.114072	-0.0175   	0.528583
43 	49    	0.235523 	0.121206	-0.02     	0.462041
44 	46    	0.241597 	0.107447	-0.018    	0.485807
45 	47    	0.254582 	0.139338	-0.02     	0.530631
46 	48    	0.24625  	0.136549	-0.0175   	0.550728
47 	45    	0.265065 	0.132629	-0.02     	0.550728
48 	48    	0.256804 	0.119935	-0.0200001	0.557528
49 	48    	0.254779 	0.140305	-0.0171429	0.557528
50 	47    	0.235303 	0.147007	-0.02     	0.693903
51 	47    	0.219849 	0.111549	-0.0171429	0.464892
52 	44    	0.252704 	0.102985	-0.02     	0.433207
53 	47    	0.228512 	0.146186	-0.02     	0.553441
54 	45    	0.251108 	0.146435	-0.0177778	0.571764
55 	49    	0.262582 	0.116311	-0.02     	0.576041
56 	47    	0.22925  	0.138528	-0.02     	0.576041
57 	48    	0.256126 	0.122917	-0.0166667	0.595119
58 	45    	0.248563 	0.160017	-0.0171428	0.595119
59 	46    	0.268793 	0.163045	-0.0166667	0.619463
60 	45    	0.296177 	0.156776	-0.02     	0.690725
61 	47    	0.279309 	0.163268	-0.02     	0.692531
62 	47    	0.28781  	0.137895	-0.02     	0.7028  
63 	45    	0.300099 	0.132742	-0.0171429	0.705972
64 	45    	0.264394 	0.17441 	-0.0171429	0.730832
65 	50    	0.22508  	0.139696	-0.02     	0.603978
66 	46    	0.27071  	0.16379 	-0.0177768	0.613318
67 	46    	0.235632 	0.185106	-0.0175   	0.614356
68 	45    	0.255508 	0.187833	-0.0177778	0.695964
69 	46    	0.288912 	0.201012	-0.0171429	0.706335
70 	49    	0.226213 	0.17528 	-0.02     	0.705944
71 	44    	0.214763 	0.179315	-0.0171428	0.702804
72 	48    	0.196885 	0.170493	-0.0175   	0.706666
73 	49    	0.170008 	0.167297	-0.02     	0.706666
74 	48    	0.173757 	0.153246	-0.02     	0.706666
75 	46    	0.243677 	0.17559 	-0.02     	0.706666
76 	44    	0.255543 	0.141575	-0.0171429	0.706666
77 	50    	0.200081 	0.102411	-0.0171429	0.498597
78 	43    	0.233587 	0.134597	-0.0171429	0.515986
79 	47    	0.20782  	0.16355 	-0.02     	0.56044 
80 	49    	0.170769 	0.154958	-0.02     	0.693234
81 	41    	0.227663 	0.166403	-0.0200001	0.693234
82 	47    	0.241021 	0.176297	-0.018    	0.693234
83 	48    	0.273056 	0.149042	-0.0175   	0.693461
84 	46    	0.240492 	0.133061	-0.02     	0.693461
85 	49    	0.229217 	0.0898038	-0.0171429	0.404607
86 	45    	0.286135 	0.129748 	-0.0160001	0.670884
87 	45    	0.274819 	0.112655 	0.0949991 	0.571711
88 	42    	0.283278 	0.129036 	-0.0133337	0.605402
89 	48    	0.273526 	0.138858 	-0.02     	0.533167
90 	47    	0.272276 	0.15193  	-0.02     	0.610655
91 	45    	0.275326 	0.168403 	-0.02     	0.614573
92 	48    	0.235667 	0.147089 	-0.02     	0.610233
93 	47    	0.226692 	0.156233 	-0.02     	0.695143
94 	47    	0.249908 	0.117139 	-0.02     	0.537368
